,AC Power,DC scaled P_mp,DC scaled V_mp,DC scaled I_mp,Cell Temperature,poa_direct,poa_sky_diffuse,poa_ground_diffuse,solar_elevation,temp_air,wind_speed,Int,poa_diffuse,poa_global
2022-01-01 01:10:00,-3.75,-0.0,0.0,-2.823541271352669e-28,-1.31,0.0,0.0,0.0,0.0,-1.31,2.07,0,0.0,0.0
2022-01-01 02:10:00,-3.75,0.0,0.0,0.0,-0.58,0.0,0.0,0.0,0.0,-0.58,2.14,0,0.0,0.0
2022-01-01 03:10:00,-3.75,-0.0,0.0,-5.647082542705338e-28,-0.27,0.0,0.0,0.0,0.0,-0.27,2.14,0,0.0,0.0
2022-01-01 04:10:00,-3.75,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,1.02,2.07,0,0.0,0.0
2022-01-01 05:10:00,-3.75,0.0,0.0,5.647082542705338e-28,1.51,0.0,0.0,0.0,0.0,1.51,2.0,0,0.0,0.0
2022-01-01 06:10:00,-3.75,0.0,0.0,0.0,1.82,0.0,0.0,0.0,0.0,1.82,1.93,0,0.0,0.0
2022-01-01 07:10:00,-3.75,0.0,0.0,1.1294165085410675e-27,1.66,0.0,0.0,0.0,0.0,1.66,1.79,0,0.0,0.0
2022-01-01 08:10:00,40.200676252242225,101.18743199998337,385.3585978850679,0.24475073420600854,2.6126258051971396,0.0,10.7,0.16,2.4,2.31,1.79,0,10.86,10.86
2022-01-01 09:10:00,3311.077962452541,3463.0971729650146,415.608696721089,7.766807356664761,12.289131662192045,245.05,102.74,1.66,9.64,2.42,1.59,0,104.4,349.45
2022-01-01 10:10:00,5833.545239496749,6062.46294392472,400.5343540554723,14.108206492576958,21.409588894742843,537.89,94.47,3.32,15.2,3.03,1.24,0,97.79,635.68
2022-01-01 11:10:00,6180.554551006774,6421.258241147681,395.03546677101565,15.151182500106575,24.453217205745368,581.51,99.11,4.18,18.62,4.56,1.17,0,103.29,684.8
2022-01-01 12:10:00,5793.9598784031605,6022.6361034747115,396.8278990039071,14.14643172190827,23.59075053884675,538.65,102.3,4.37,19.58,5.02,1.31,0,106.67,645.3199999999999
2022-01-01 13:10:00,3877.4659889250183,4047.4243944630234,406.85355467037857,9.272633876950723,17.776455600941482,279.04,145.24,3.44,17.97,5.64,1.52,0,148.68,427.72
2022-01-01 14:10:00,2691.9801839564716,2826.9295470374286,411.36525231934274,6.405453205940267,14.010188569663613,202.73,106.04,2.59,13.96,5.05,1.31,0,108.63,311.36
2022-01-01 15:10:00,707.1056222828563,786.2350540507966,402.955098152823,1.818688121109486,10.373791838521994,160.73,40.48,1.51,7.93,4.54,1.31,0,41.99,202.72
2022-01-01 16:10:00,-3.75,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,3.75,1.52,0,0.0,0.0
2022-01-01 17:10:00,-3.75,0.0,0.0,0.0,2.21,0.0,0.0,0.0,0.0,2.21,1.52,0,0.0,0.0
2022-01-01 18:10:00,-3.75,0.0,0.0,5.647082542705338e-28,0.42,0.0,0.0,0.0,0.0,0.42,1.45,0,0.0,0.0
2022-01-01 19:10:00,-3.75,-0.0,0.0,-5.647082542705338e-28,-0.68,0.0,0.0,0.0,0.0,-0.68,1.45,0,0.0,0.0
2022-01-01 20:10:00,-3.75,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,-0.1,1.45,0,0.0,0.0
2022-01-01 21:10:00,-3.75,-0.0,0.0,-5.647082542705338e-28,-0.68,0.0,0.0,0.0,0.0,-0.68,1.38,0,0.0,0.0
2022-01-01 22:10:00,-3.75,-0.0,0.0,-2.823541271352669e-28,-1.87,0.0,0.0,0.0,0.0,-1.87,1.31,0,0.0,0.0
2022-01-01 23:10:00,-3.75,0.0,0.0,0.0,-2.62,0.0,0.0,0.0,0.0,-2.62,1.24,0,0.0,0.0
2022-01-02 00:10:00,-3.75,0.0,0.0,0.0,-2.92,0.0,0.0,0.0,0.0,-2.92,1.1,0,0.0,0.0
2022-01-02 01:10:00,-3.75,0.0,0.0,2.823541271352669e-28,-2.99,0.0,0.0,0.0,0.0,-2.99,1.17,0,0.0,0.0
2022-01-02 02:10:00,-3.75,0.0,0.0,0.0,-3.48,0.0,0.0,0.0,0.0,-3.48,1.1,0,0.0,0.0
2022-01-02 03:10:00,-3.75,0.0,0.0,0.0,-3.89,0.0,0.0,0.0,0.0,-3.89,1.1,0,0.0,0.0
2022-01-02 04:10:00,-3.75,0.0,0.0,0.0,-4.09,0.0,0.0,0.0,0.0,-4.09,1.1,0,0.0,0.0
2022-01-02 05:10:00,-3.75,0.0,0.0,1.4117706356763344e-28,-4.31,0.0,0.0,0.0,0.0,-4.31,1.1,0,0.0,0.0
2022-01-02 06:10:00,-3.75,-0.0,0.0,-1.4117706356763344e-28,-4.56,0.0,0.0,0.0,0.0,-4.56,1.17,0,0.0,0.0
2022-01-02 07:10:00,-3.75,0.0,0.0,1.4117706356763344e-28,-4.81,0.0,0.0,0.0,0.0,-4.81,1.17,0,0.0,0.0
2022-01-02 08:10:00,44.2620755257321,104.69247606052367,399.47738390086687,0.24427878791746127,-4.6474754372220355,0.0,10.7,0.16,2.41,-4.96,1.31,0,10.86,10.86
2022-01-02 09:10:00,4632.406015799518,4821.985948134953,418.0540707013843,10.751175865236458,11.431356481213598,398.6,85.01,1.93,9.67,-2.74,1.1,0,86.94000000000001,485.54
2022-01-02 10:10:00,6034.610591572276,6269.685966196703,399.8656416339353,14.614843921304885,21.708496917474314,566.43,88.86,3.42,15.24,2.13,0.83,0,92.28,658.7099999999999
2022-01-02 11:10:00,6593.028276432967,6847.502700289552,390.02288471454494,16.3645702290034,27.132959873188327,662.27,73.58,4.43,18.69,5.13,0.83,0,78.00999999999999,740.28
2022-01-02 12:10:00,6151.383699028147,6392.56828030122,389.8897467883491,15.282557669772316,27.47510438359881,617.51,75.81,4.64,19.67,6.73,0.83,0,80.45,697.96
2022-01-02 13:10:00,4723.197546732937,4919.251347499349,400.4272963060835,11.450852504186285,21.721850389443922,418.45,110.0,3.93,18.08,6.11,1.03,0,113.93,532.38
2022-01-02 14:10:00,1911.68144898082,2024.1154866501938,413.1661077133595,4.566390848183813,11.259306071598203,94.52,118.38,2.14,14.08,5.1,1.38,0,120.52,215.04
2022-01-02 15:10:00,509.17968058505994,582.5292342912791,405.01463540074866,1.3406317193798778,6.772287063703934,17.1,54.0,0.86,8.06,4.74,1.59,0,54.86,71.96000000000001
2022-01-02 16:10:00,-3.75,0.0,0.0,1.1294165085410675e-27,3.88,0.0,0.0,0.0,0.0,3.88,1.72,0,0.0,0.0
2022-01-02 17:10:00,-3.75,0.0,0.0,0.0,3.05,0.0,0.0,0.0,0.0,3.05,1.59,0,0.0,0.0
2022-01-02 18:10:00,-3.75,0.0,0.0,1.1294165085410675e-27,2.72,0.0,0.0,0.0,0.0,2.72,1.59,0,0.0,0.0
2022-01-02 19:10:00,-3.75,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,2.36,1.59,0,0.0,0.0
2022-01-02 20:10:00,-3.75,0.0,0.0,0.0,1.78,0.0,0.0,0.0,0.0,1.78,1.66,0,0.0,0.0
2022-01-02 21:10:00,-3.75,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.79,1.59,0,0.0,0.0
2022-01-02 22:10:00,-3.75,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.23,1.72,0,0.0,0.0
