time,GL [W m-2],P0 [Pa],RH2M [percent],RR [kg m-2],T2M [degree_Celsius],TD2M [degree_Celsius],UU [m s-1],VV [m s-1],lat,lon
2022-07-13T00:00+00:00,0.0,102520.91,85.18,0.0,13.18,10.75,-0.39,-0.34,47.386993,15.094809
2022-07-13T01:00+00:00,0.0,102535.41,86.96,0.0,12.7,10.58,-0.02,-0.14,47.386993,15.094809
2022-07-13T02:00+00:00,0.0,102540.15,87.8,0.0,12.11,10.15,-0.12,-0.16,47.386993,15.094809
2022-07-13T03:00+00:00,0.0,102560.61,89.3,0.0,11.45,9.76,-0.39,-0.31,47.386993,15.094809
2022-07-13T04:00+00:00,51.87,102593.66,89.59,0.0,11.52,9.87,-0.16,-0.21,47.386993,15.094809
2022-07-13T05:00+00:00,168.12,102594.64,84.91,0.0,12.51,10.04,-0.11,-0.04,47.386993,15.094809
2022-07-13T06:00+00:00,347.93,102514.97,76.11,0.0,14.83,10.66,-0.06,0.19,47.386993,15.094809
2022-07-13T07:00+00:00,520.05,102374.67,62.37,0.0,18.14,10.84,-0.03,0.28,47.386993,15.094809
2022-07-13T08:00+00:00,673.45,102239.57,50.68,0.0,21.01,10.4,-0.38,0.12,47.386993,15.094809
2022-07-13T09:00+00:00,788.92,102153.0,40.29,0.0,24.21,9.88,1.19,0.56,47.386993,15.094809
2022-07-13T10:00+00:00,863.23,102109.6,31.47,0.0,25.08,7.0,2.12,0.36,47.386993,15.094809
2022-07-13T11:00+00:00,913.83,102074.32,29.25,0.0,26.17,6.87,-0.2,-0.12,47.386993,15.094809
2022-07-13T12:00+00:00,936.82,102024.35,26.61,0.0,26.75,6.0,-0.36,-0.05,47.386993,15.094809
2022-07-13T13:00+00:00,783.03,101974.42,24.81,0.0,27.26,5.42,-0.59,-0.28,47.386993,15.094809
2022-07-13T14:00+00:00,720.34,101934.14,21.59,0.0,27.61,3.72,0.17,-0.08,47.386993,15.094809
2022-07-13T15:00+00:00,580.6,101864.62,19.33,0.0,28.02,2.51,-1.18,-0.32,47.386993,15.094809
2022-07-13T16:00+00:00,416.12,101804.89,20.64,0.0,28.44,3.77,0.26,-0.03,47.386993,15.094809
2022-07-13T17:00+00:00,250.34,101845.14,19.97,0.0,27.19,2.29,0.43,-0.07,47.386993,15.094809
2022-07-13T18:00+00:00,59.53,101913.35,36.52,0.0,24.39,8.57,-0.14,-0.15,47.386993,15.094809
2022-07-13T19:00+00:00,0.0,101968.87,44.17,0.0,22.28,9.51,0.43,0.02,47.386993,15.094809
2022-07-13T20:00+00:00,0.0,102045.8,48.32,0.0,21.25,9.91,0.68,0.12,47.386993,15.094809
2022-07-13T21:00+00:00,0.0,102086.1,52.5,0.0,20.31,10.28,0.6,0.1,47.386993,15.094809
2022-07-13T22:00+00:00,0.0,102165.6,59.14,0.0,18.41,10.29,-0.14,-0.28,47.386993,15.094809
2022-07-13T23:00+00:00,0.0,102186.16,61.17,0.0,18.03,10.45,0.44,-0.01,47.386993,15.094809
2022-07-14T00:00+00:00,0.0,102205.91,65.62,0.0,16.71,10.24,0.66,0.16,47.386993,15.094809
2022-07-14T01:00+00:00,0.0,102225.99,65.91,0.0,16.15,9.78,0.39,0.09,47.386993,15.094809
2022-07-14T02:00+00:00,0.0,102243.91,70.38,0.0,15.7,10.33,-0.06,-0.17,47.386993,15.094809
2022-07-14T03:00+00:00,0.0,102265.28,71.38,0.0,15.18,10.05,0.39,0.01,47.386993,15.094809
2022-07-14T04:00+00:00,28.16,102235.53,70.73,0.0,15.16,9.89,-0.09,-0.19,47.386993,15.094809
2022-07-14T05:00+00:00,83.67,102235.44,70.58,0.0,15.69,10.36,-0.34,-0.31,47.386993,15.094809
2022-07-14T06:00+00:00,132.56,102225.24,66.04,0.0,16.47,10.11,0.0,0.02,47.386993,15.094809
2022-07-14T07:00+00:00,220.24,102183.01,57.91,0.0,18.3,9.88,0.54,0.39,47.386993,15.094809
2022-07-14T08:00+00:00,355.21,102092.39,54.65,0.0,19.98,10.58,0.14,0.22,47.386993,15.094809
2022-07-14T09:00+00:00,442.58,101974.25,43.15,0.0,22.92,9.74,0.61,0.39,47.386993,15.094809
2022-07-14T10:00+00:00,617.84,101871.85,40.97,0.0,23.93,9.87,0.59,0.37,47.386993,15.094809
2022-07-14T11:00+00:00,476.24,101741.97,39.03,0.0,25.49,10.54,0.05,0.09,47.386993,15.094809
2022-07-14T12:00+00:00,529.24,101583.07,33.38,0.0,28.37,10.73,0.2,0.14,47.386993,15.094809
2022-07-14T13:00+00:00,815.99,101454.73,27.29,0.0,30.24,9.33,0.47,0.07,47.386993,15.094809
2022-07-14T14:00+00:00,711.32,101367.42,23.43,0.0,31.29,7.96,0.53,0.12,47.386993,15.094809
2022-07-14T15:00+00:00,551.55,101243.43,21.49,0.0,32.38,7.61,0.49,0.09,47.386993,15.094809
2022-07-14T16:00+00:00,263.45,101175.58,24.84,0.0,31.24,8.79,1.12,0.41,47.386993,15.094809
2022-07-14T17:00+00:00,267.72,101141.14,31.51,0.0,30.35,11.58,-0.8,0.15,47.386993,15.094809
2022-07-14T18:00+00:00,77.21,101200.29,46.06,0.0,26.28,13.76,-0.35,-0.17,47.386993,15.094809
2022-07-14T19:00+00:00,0.0,101259.81,50.67,0.0,23.84,13.0,-0.03,-0.09,47.386993,15.094809
2022-07-14T20:00+00:00,0.0,101339.86,56.69,0.0,22.56,13.53,0.97,0.24,47.386993,15.094809
2022-07-14T21:00+00:00,0.0,101380.14,62.04,0.0,21.17,13.61,1.03,0.31,47.386993,15.094809
2022-07-14T22:00+00:00,0.0,101429.46,66.39,0.0,19.57,13.14,0.64,0.16,47.386993,15.094809
2022-07-14T23:00+00:00,0.0,101448.94,68.03,0.0,18.76,12.75,0.64,0.1,47.386993,15.094809
2022-07-15T00:00+00:00,0.0,101460.78,71.54,0.107,18.11,12.89,0.12,0.0,47.386993,15.094809
2022-07-15T01:00+00:00,0.0,101524.55,80.22,0.427,17.43,13.99,0.28,0.06,47.386993,15.094809
2022-07-15T02:00+00:00,0.0,101568.21,87.8,0.0,16.73,14.7,-0.32,-0.21,47.386993,15.094809
2022-07-15T03:00+00:00,0.0,101615.05,88.35,0.0,16.28,14.35,-0.17,-0.17,47.386993,15.094809
2022-07-15T04:00+00:00,14.02,101625.41,86.32,0.001,16.7,14.4,-0.25,-0.13,47.386993,15.094809
2022-07-15T05:00+00:00,48.68,101683.57,85.71,0.025,17.04,14.63,0.05,-0.05,47.386993,15.094809
2022-07-15T06:00+00:00,92.11,101723.53,86.6,0.093,17.51,15.25,-0.43,-0.11,47.386993,15.094809
2022-07-15T07:00+00:00,158.91,101753.03,83.3,0.095,18.46,15.58,0.0,-0.1,47.386993,15.094809
2022-07-15T08:00+00:00,159.82,101744.87,73.5,0.0,19.97,15.09,0.48,0.2,47.386993,15.094809
2022-07-15T09:00+00:00,526.37,101695.39,64.04,0.0,21.83,14.73,0.25,0.17,47.386993,15.094809
2022-07-15T10:00+00:00,523.99,101665.17,54.14,0.0,23.49,13.69,0.14,0.14,47.386993,15.094809
2022-07-15T11:00+00:00,524.25,101610.81,50.55,0.0,24.18,13.28,-0.59,-0.04,47.386993,15.094809
2022-07-15T12:00+00:00,417.79,101590.23,49.69,0.0,24.27,13.1,-0.23,-0.07,47.386993,15.094809
2022-07-15T13:00+00:00,423.8,101563.73,44.64,0.0,24.56,11.73,0.15,-0.22,47.386993,15.094809
2022-07-15T14:00+00:00,237.48,101563.94,51.49,0.0,24.21,13.58,-0.41,-0.06,47.386993,15.094809
2022-07-15T15:00+00:00,179.42,101566.04,60.06,0.0,23.6,15.4,-0.85,-0.12,47.386993,15.094809
2022-07-15T16:00+00:00,89.6,101615.37,65.96,0.0,22.37,15.7,-1.37,-0.28,47.386993,15.094809
2022-07-15T17:00+00:00,29.76,101673.47,68.75,0.0,21.55,15.57,-1.26,-0.4,47.386993,15.094809
2022-07-15T18:00+00:00,11.36,101734.64,73.99,0.002,20.43,15.64,-0.81,-0.45,47.386993,15.094809
2022-07-15T19:00+00:00,0.0,101778.17,75.24,0.0,19.94,15.43,-0.51,-0.29,47.386993,15.094809
2022-07-15T20:00+00:00,0.0,101858.42,77.88,0.0,19.6,15.64,-0.65,-0.28,47.386993,15.094809
2022-07-15T21:00+00:00,0.0,101875.55,80.4,0.0,19.23,15.77,-0.72,-0.33,47.386993,15.094809
2022-07-15T22:00+00:00,0.0,101884.03,82.62,0.0,18.59,15.58,-0.73,-0.34,47.386993,15.094809
2022-07-15T23:00+00:00,0.0,101925.85,86.06,0.0,17.85,15.49,-0.08,-0.23,47.386993,15.094809
2022-07-16T00:00+00:00,0.0,101970.78,89.28,0.0,16.58,14.81,-0.38,-0.35,47.386993,15.094809
2022-07-16T01:00+00:00,0.0,101990.71,91.61,0.0,15.84,14.48,-0.02,-0.12,47.386993,15.094809
2022-07-16T02:00+00:00,0.0,101980.91,92.53,0.0,15.5,14.29,-0.11,-0.2,47.386993,15.094809
2022-07-16T03:00+00:00,0.0,101961.12,85.16,0.0,15.73,13.25,0.07,-0.13,47.386993,15.094809
2022-07-16T04:00+00:00,41.5,101972.69,88.77,0.0,15.83,13.98,-0.54,-0.36,47.386993,15.094809
2022-07-16T05:00+00:00,70.94,101980.74,84.64,0.0,16.0,13.42,-0.9,-0.2,47.386993,15.094809
2022-07-16T06:00+00:00,158.04,101985.17,80.32,0.0,16.76,13.36,-0.31,0.06,47.386993,15.094809
2022-07-16T07:00+00:00,306.85,101954.14,76.41,0.0,17.93,13.72,-0.41,0.01,47.386993,15.094809
2022-07-16T08:00+00:00,663.51,101824.47,66.87,0.0,20.66,14.29,0.21,0.32,47.386993,15.094809
2022-07-16T09:00+00:00,654.88,101725.01,52.26,0.0,23.61,13.26,0.3,0.29,47.386993,15.094809
2022-07-16T10:00+00:00,846.5,101631.25,43.1,0.0,24.84,11.44,0.39,0.23,47.386993,15.094809
2022-07-16T11:00+00:00,899.52,101536.49,33.95,0.0,26.41,9.27,1.28,0.26,47.386993,15.094809
2022-07-16T12:00+00:00,876.88,101526.39,31.84,0.0,27.1,8.92,1.17,0.18,47.386993,15.094809
2022-07-16T13:00+00:00,820.1,101510.28,29.9,0.0,27.67,8.48,0.71,0.11,47.386993,15.094809
2022-07-16T14:00+00:00,685.47,101499.97,29.71,0.0,28.01,8.68,0.74,0.09,47.386993,15.094809
2022-07-16T15:00+00:00,564.9,101525.94,29.95,0.0,27.46,8.33,0.14,-0.22,47.386993,15.094809
2022-07-16T16:00+00:00,414.25,101560.89,30.82,0.0,27.81,9.05,0.92,0.31,47.386993,15.094809
2022-07-16T17:00+00:00,248.64,101670.3,34.58,0.0,25.52,8.77,-0.22,-0.38,47.386993,15.094809
2022-07-16T18:00+00:00,85.24,101810.11,38.16,0.0,23.7,8.61,0.07,-0.19,47.386993,15.094809
2022-07-16T19:00+00:00,0.0,101940.96,40.4,0.0,22.67,8.53,-0.03,-0.16,47.386993,15.094809
2022-07-16T20:00+00:00,0.0,102106.31,47.39,0.0,20.9,9.3,1.11,0.21,47.386993,15.094809
2022-07-16T21:00+00:00,0.0,102245.99,54.99,0.0,18.83,9.6,0.57,0.14,47.386993,15.094809
2022-07-16T22:00+00:00,0.0,102385.83,61.93,0.0,17.05,9.71,0.21,-0.01,47.386993,15.094809
2022-07-16T23:00+00:00,0.0,102424.24,66.93,0.0,16.27,10.13,0.57,0.09,47.386993,15.094809
