time,P,poa_direct,poa_sky_diffuse,poa_ground_diffuse,solar_elevation,temp_air,wind_speed,Int,poa_diffuse,poa_global_calc
2022-01-01 01:10:00+01:00,0.0,0.0,0.0,0.0,0.0,-1.31,2.07,0,0.0,0.0
2022-01-01 02:10:00+01:00,0.0,0.0,0.0,0.0,0.0,-0.58,2.14,0,0.0,0.0
2022-01-01 03:10:00+01:00,0.0,0.0,0.0,0.0,0.0,-0.27,2.14,0,0.0,0.0
2022-01-01 04:10:00+01:00,0.0,0.0,0.0,0.0,0.0,1.02,2.07,0,0.0,0.0
2022-01-01 05:10:00+01:00,0.0,0.0,0.0,0.0,0.0,1.51,2.0,0,0.0,0.0
2022-01-01 06:10:00+01:00,0.0,0.0,0.0,0.0,0.0,1.82,1.93,0,0.0,0.0
2022-01-01 07:10:00+01:00,0.0,0.0,0.0,0.0,0.0,1.66,1.79,0,0.0,0.0
2022-01-01 08:10:00+01:00,26.29,0.0,10.7,0.16,2.4,2.31,1.79,0,10.86,10.86
2022-01-01 09:10:00+01:00,3190.92,245.05,102.74,1.66,9.64,2.42,1.59,0,104.39999999999999,349.45
2022-01-01 10:10:00+01:00,5750.03,537.89,94.47,3.32,15.2,3.03,1.24,0,97.78999999999999,635.68
2022-01-01 11:10:00+01:00,6114.66,581.51,99.11,4.18,18.62,4.56,1.17,0,103.28999999999999,684.8
2022-01-01 12:10:00+01:00,5771.99,538.65,102.3,4.37,19.58,5.02,1.31,0,106.67,645.3199999999999
2022-01-01 13:10:00+01:00,3834.55,279.04,145.24,3.44,17.97,5.64,1.52,0,148.68,427.72
2022-01-01 14:10:00+01:00,2714.45,202.73,106.04,2.59,13.96,5.05,1.31,0,108.63000000000001,311.36
2022-01-01 15:10:00+01:00,1516.1,160.73,40.48,1.51,7.93,4.54,1.31,0,41.989999999999995,202.71999999999997
2022-01-01 16:10:00+01:00,0.0,0.0,0.0,0.0,0.0,3.75,1.52,0,0.0,0.0
2022-01-01 17:10:00+01:00,0.0,0.0,0.0,0.0,0.0,2.21,1.52,0,0.0,0.0
2022-01-01 18:10:00+01:00,0.0,0.0,0.0,0.0,0.0,0.42,1.45,0,0.0,0.0
2022-01-01 19:10:00+01:00,0.0,0.0,0.0,0.0,0.0,-0.68,1.45,0,0.0,0.0
2022-01-01 20:10:00+01:00,0.0,0.0,0.0,0.0,0.0,-0.1,1.45,0,0.0,0.0
2022-01-01 21:10:00+01:00,0.0,0.0,0.0,0.0,0.0,-0.68,1.38,0,0.0,0.0
2022-01-01 22:10:00+01:00,0.0,0.0,0.0,0.0,0.0,-1.87,1.31,0,0.0,0.0
2022-01-01 23:10:00+01:00,0.0,0.0,0.0,0.0,0.0,-2.62,1.24,0,0.0,0.0
2022-01-02 00:10:00+01:00,0.0,0.0,0.0,0.0,0.0,-2.92,1.1,0,0.0,0.0
2022-01-02 01:10:00+01:00,0.0,0.0,0.0,0.0,0.0,-2.99,1.17,0,0.0,0.0
2022-01-02 02:10:00+01:00,0.0,0.0,0.0,0.0,0.0,-3.48,1.1,0,0.0,0.0
2022-01-02 03:10:00+01:00,0.0,0.0,0.0,0.0,0.0,-3.89,1.1,0,0.0,0.0
2022-01-02 04:10:00+01:00,0.0,0.0,0.0,0.0,0.0,-4.09,1.1,0,0.0,0.0
2022-01-02 05:10:00+01:00,0.0,0.0,0.0,0.0,0.0,-4.31,1.1,0,0.0,0.0
2022-01-02 06:10:00+01:00,0.0,0.0,0.0,0.0,0.0,-4.56,1.17,0,0.0,0.0
2022-01-02 07:10:00+01:00,0.0,0.0,0.0,0.0,0.0,-4.81,1.17,0,0.0,0.0
2022-01-02 08:10:00+01:00,27.77,0.0,10.7,0.16,2.41,-4.96,1.31,0,10.86,10.86
2022-01-02 09:10:00+01:00,4536.36,398.6,85.01,1.93,9.67,-2.74,1.1,0,86.94000000000001,485.54
2022-01-02 10:10:00+01:00,5936.52,566.43,88.86,3.42,15.24,2.13,0.83,0,92.28,658.7099999999999
2022-01-02 11:10:00+01:00,6518.37,662.27,73.58,4.43,18.69,5.13,0.83,0,78.00999999999999,740.28
2022-01-02 12:10:00+01:00,6119.63,617.51,75.81,4.64,19.67,6.73,0.83,0,80.45,697.96
2022-01-02 13:10:00+01:00,4731.62,418.45,110.0,3.93,18.08,6.11,1.03,0,113.93,532.38
2022-01-02 14:10:00+01:00,1836.81,94.52,118.38,2.14,14.08,5.1,1.38,0,120.52,215.04
2022-01-02 15:10:00+01:00,496.43,17.1,54.0,0.86,8.06,4.74,1.59,0,54.86,71.96000000000001
2022-01-02 16:10:00+01:00,0.0,0.0,0.0,0.0,0.0,3.88,1.72,0,0.0,0.0
2022-01-02 17:10:00+01:00,0.0,0.0,0.0,0.0,0.0,3.05,1.59,0,0.0,0.0
2022-01-02 18:10:00+01:00,0.0,0.0,0.0,0.0,0.0,2.72,1.59,0,0.0,0.0
2022-01-02 19:10:00+01:00,0.0,0.0,0.0,0.0,0.0,2.36,1.59,0,0.0,0.0
2022-01-02 20:10:00+01:00,0.0,0.0,0.0,0.0,0.0,1.78,1.66,0,0.0,0.0
