Datum und Uhrzeit,Energie Pro Wechselrichter | Symo 12.5-3-M (2),Energie Pro Wechselrichter pro kWp | Symo 12.5-3-M (2),Gesamtanlage
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh]
01.07.2024,16.24244,1.29940,16.24244
02.07.2024,31.37353,2.50988,31.37353
03.07.2024,40.38896,3.23112,40.38896
04.07.2024,48.71665,3.89733,48.71665
05.07.2024,59.59356,4.76748,59.59356
06.07.2024,55.05386,4.40431,55.05386
07.07.2024,30.17927,2.41434,30.17927
08.07.2024,51.47157,4.11773,51.47157
09.07.2024,49.91789,3.99343,49.91789
10.07.2024,50.84828,4.06786,50.84828
11.07.2024,43.14126,3.45130,43.14126
12.07.2024,43.78793,3.50303,43.78793
13.07.2024,53.64817,4.29185,53.64817
14.07.2024,58.88783,4.71103,58.88783
15.07.2024,59.03443,4.72275,59.03443
16.07.2024,55.75177,4.46014,55.75177
17.07.2024,48.46246,3.87700,48.46246
18.07.2024,52.29728,4.18378,52.29728
19.07.2024,45.23917,3.61913,45.23917
20.07.2024,26.13551,2.09084,26.13551
21.07.2024,61.20449,4.89636,61.20449
22.07.2024,30.37306,2.42984,30.37306
23.07.2024,49.35550,3.94844,49.35550
24.07.2024,45.91166,3.67293,45.91166
25.07.2024,54.85895,4.38872,54.85895
26.07.2024,59.48916,4.75913,59.48916
27.07.2024,51.42249,4.11380,51.42249
28.07.2024,35.56868,2.84549,35.56868
29.07.2024,60.38030,4.83042,60.38030
30.07.2024,60.52264,4.84181,60.52264
31.07.2024,56.25689,4.50055,56.25689
01.08.2024,46.12322,3.68986,46.12322
02.08.2024,35.43190,2.83455,35.43190
03.08.2024,52.06484,4.16519,52.06484
04.08.2024,37.87685,3.03015,37.87685
05.08.2024,27.66004,2.21280,27.66004
06.08.2024,51.19382,4.09551,51.19382
07.08.2024,48.62885,3.89031,48.62885
08.08.2024,48.79853,3.90388,48.79853
09.08.2024,53.68399,4.29472,53.68399
10.08.2024,46.75714,3.74057,46.75714
11.08.2024,54.82705,4.38616,54.82705
12.08.2024,49.64586,3.97167,49.64586
13.08.2024,38.55719,3.08458,38.55719
14.08.2024,42.23478,3.37878,42.23478
15.08.2024,47.86434,3.82915,47.86434
16.08.2024,41.43419,3.31474,41.43419
17.08.2024,49.86609,3.98929,49.86609
18.08.2024,33.73693,2.69895,33.73693
19.08.2024,28.91773,2.31342,28.91773
20.08.2024,36.75111,2.94009,36.75111
21.08.2024,20.24017,1.61921,20.24017
22.08.2024,47.18246,3.77460,47.18246
23.08.2024,49.97239,3.99779,49.97239
24.08.2024,47.90886,3.83271,47.90886
25.08.2024,42.40633,3.39251,42.40633
26.08.2024,41.06916,3.28553,41.06916
27.08.2024,46.33389,3.70671,46.33389
28.08.2024,44.69371,3.57550,44.69371
29.08.2024,43.16507,3.45321,43.16507
30.08.2024,50.29519,4.02362,50.29519
31.08.2024,49.00235,3.92019,49.00235
01.09.2024,43.10790,3.44863,43.10790
02.09.2024,42.81200,3.42496,42.81200
03.09.2024,43.79895,3.50392,43.79895
04.09.2024,45.52857,3.64229,45.52857
05.09.2024,32.40014,2.59201,32.40014
06.09.2024,17.69444,1.41555,17.69444
07.09.2024,34.32847,2.74628,34.32847
08.09.2024,38.05573,3.04446,38.05573
09.09.2024,8.07201,0.64576,8.07201
10.09.2024,27.80172,2.22414,27.80172
11.09.2024,46.55591,3.72447,46.55591
12.09.2024,5.28480,0.42278,5.28480
13.09.2024,10.23473,0.81878,10.23473
14.09.2024,8.52941,0.68235,8.52941
15.09.2024,17.85192,1.42815,17.85192
16.09.2024,9.30085,0.74407,9.30085
17.09.2024,35.80356,2.86428,35.80356
18.09.2024,15.48664,1.23893,15.48664
