Datum und Uhrzeit,PV Produktion
[dd.MM.yyyy HH:mm],[Wh]
23.01.2025 07:05,0.0
23.01.2025 07:10,0.0
23.01.2025 07:15,0.0
23.01.2025 07:20,0.0
23.01.2025 07:25,0.0
23.01.2025 07:30,0.0
23.01.2025 07:35,0.0
23.01.2025 07:40,0.0
23.01.2025 07:45,0.0
23.01.2025 07:50,0.0
23.01.2025 07:55,0.0
23.01.2025 08:00,0.0
23.01.2025 08:05,0.38
23.01.2025 08:10,1.79
23.01.2025 08:15,3.1
23.01.2025 08:20,7.03
23.01.2025 08:25,10.58
23.01.2025 08:30,10.3
23.01.2025 08:35,9.45
23.01.2025 08:40,10.33
23.01.2025 08:45,12.1
23.01.2025 08:50,20.08
23.01.2025 08:55,24.62
23.01.2025 09:00,28.76
23.01.2025 09:05,30.37
23.01.2025 09:10,31.34
23.01.2025 09:15,34.1
23.01.2025 09:20,36.95
23.01.2025 09:25,38.85
23.01.2025 09:30,42.05
23.01.2025 09:35,44.81
23.01.2025 09:40,44.73
23.01.2025 09:45,43.05
23.01.2025 09:50,39.07
23.01.2025 09:55,39.56
23.01.2025 10:00,37.66
23.01.2025 10:05,39.67
23.01.2025 10:10,53.76
23.01.2025 10:15,57.74
23.01.2025 10:20,73.73
23.01.2025 10:25,112.14
23.01.2025 10:30,131.56
23.01.2025 10:35,82.9
23.01.2025 10:40,47.89
23.01.2025 10:45,50.01
23.01.2025 10:50,154.01
23.01.2025 10:55,133.47
23.01.2025 11:00,143.8
23.01.2025 11:05,193.47
23.01.2025 11:10,188.75
23.01.2025 11:15,189.75
23.01.2025 11:20,220.84
23.01.2025 11:25,188.04
23.01.2025 11:30,219.32
23.01.2025 11:35,234.86
23.01.2025 11:40,231.28
23.01.2025 11:45,267.42
23.01.2025 11:50,260.2
23.01.2025 11:55,316.55
23.01.2025 12:00,348.52
23.01.2025 12:05,334.97
23.01.2025 12:10,356.42
23.01.2025 12:15,348.86
23.01.2025 12:20,335.39
23.01.2025 12:25,351.92
23.01.2025 12:30,351.14
23.01.2025 12:35,357.88
23.01.2025 12:40,328.29
23.01.2025 12:45,353.67
23.01.2025 12:50,349.36
23.01.2025 12:55,367.74
23.01.2025 13:00,360.27
23.01.2025 13:05,371.13
23.01.2025 13:10,158.79
23.01.2025 13:15,141.8
23.01.2025 13:20,147.8
23.01.2025 13:25,205.5
23.01.2025 13:30,277.21
23.01.2025 13:35,266.42
23.01.2025 13:40,260.09
23.01.2025 13:45,250.38
23.01.2025 13:50,244.28
23.01.2025 13:55,216.89
23.01.2025 14:00,227.83
23.01.2025 14:05,222.62
23.01.2025 14:10,220.32
23.01.2025 14:15,225.52
23.01.2025 14:20,245.56
23.01.2025 14:25,223.19
23.01.2025 14:30,183.37
23.01.2025 14:35,169.8
23.01.2025 14:40,131.71
23.01.2025 14:45,102.91
23.01.2025 14:50,78.11
23.01.2025 14:55,76.77
23.01.2025 15:00,77.0
23.01.2025 15:05,85.99
23.01.2025 15:10,78.25
23.01.2025 15:15,61.77
23.01.2025 15:20,52.42
23.01.2025 15:25,38.57
23.01.2025 15:30,36.16
23.01.2025 15:35,27.47
23.01.2025 15:40,24.14
23.01.2025 15:45,18.99
23.01.2025 15:50,19.98
23.01.2025 15:55,20.19
23.01.2025 16:00,28.93
23.01.2025 16:05,27.64
23.01.2025 16:10,21.58
23.01.2025 16:15,16.53
