,AC Power,DC scaled I_mp,DC scaled V_mp,DC scaled P_mp,Cell Temperature,poa_direct,poa_sky_diffuse,poa_ground_diffuse,solar_elevation,temp_air,wind_speed,Int,poa_diffuse,poa_global
2022-01-01 01:10:00,-6.012,0.0,0.0,0.0,-1.31,0.0,0.0,0.0,0.0,-1.31,2.07,0,0.0,0.0
2022-01-01 02:10:00,-6.012,0.0,0.0,0.0,-0.58,0.0,0.0,0.0,0.0,-0.58,2.14,0,0.0,0.0
2022-01-01 03:10:00,-6.012,0.0,0.0,0.0,-0.27,0.0,0.0,0.0,0.0,-0.27,2.14,0,0.0,0.0
2022-01-01 04:10:00,-6.012,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,1.02,2.07,0,0.0,0.0
2022-01-01 05:10:00,-6.012,0.015485399183612133,364.5536767229446,5.645259207908287,1.51,0.0,0.0,0.0,0.0,1.51,2.0,0,0.0,0.0
2022-01-01 06:10:00,-6.012,0.02165948014838843,369.94759136664175,8.012872511149892,1.82,0.0,0.0,0.0,0.0,1.82,1.93,0,0.0,0.0
2022-01-01 07:10:00,-6.012,0.022954933502646886,371.35968862165765,8.524536957873803,1.66,0.0,0.0,0.0,0.0,1.66,1.79,0,0.0,0.0
2022-01-01 08:10:00,67.32632776880514,0.2860579442922917,414.986532485445,118.71019439177275,2.601593723485377,0.0,10.7,0.16,2.4,2.31,1.79,0,10.86,10.86
2022-01-01 09:10:00,3697.0766939935056,8.477328335023795,446.21899814788725,3782.7449566250143,12.160603641472198,245.05,102.74,1.66,9.64,2.42,1.59,0,104.4,349.45
2022-01-01 10:10:00,6478.529178279906,15.401883181829241,428.52771028360246,6600.133733964811,22.015950492210646,537.89,94.47,3.32,15.2,3.03,1.24,0,97.79,635.68
2022-01-01 11:10:00,6877.728291219866,16.594208145950393,422.13241744211786,7004.953200187725,25.30975456627922,581.51,99.11,4.18,18.62,4.56,1.17,0,103.29,684.8
2022-01-01 12:10:00,6522.09653624993,15.640194565742238,424.80884441368113,6644.092979878096,24.022131894795113,538.65,102.3,4.37,19.58,5.02,1.31,0,106.67,645.3199999999999
2022-01-01 13:10:00,4438.294637412331,10.378280720199857,436.72007756665346,4532.403561134186,17.723578176558334,279.04,145.24,3.44,17.97,5.64,1.52,0,148.68,427.72
2022-01-01 14:10:00,3258.2699499964624,7.559551345831126,441.66132617870215,3338.761472715768,14.21832546141977,202.73,106.04,2.59,13.96,5.05,1.31,0,108.63,311.36
2022-01-01 15:10:00,2116.1792098273972,4.913159484971072,444.7229919480739,2184.9949860743927,10.509305426320067,160.73,40.48,1.51,7.93,4.54,1.31,0,41.99,202.72
2022-01-01 16:10:00,-6.012,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,3.75,1.52,0,0.0,0.0
2022-01-01 17:10:00,-6.012,0.0,0.0,0.0,2.21,0.0,0.0,0.0,0.0,2.21,1.52,0,0.0,0.0
2022-01-01 18:10:00,-6.012,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.42,1.45,0,0.0,0.0
2022-01-01 19:10:00,-6.012,0.0,0.0,0.0,-0.68,0.0,0.0,0.0,0.0,-0.68,1.45,0,0.0,0.0
2022-01-01 20:10:00,-6.012,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,-0.1,1.45,0,0.0,0.0
2022-01-01 21:10:00,-6.012,0.0,0.0,0.0,-0.68,0.0,0.0,0.0,0.0,-0.68,1.38,0,0.0,0.0
2022-01-01 22:10:00,-6.012,0.0,0.0,0.0,-1.87,0.0,0.0,0.0,0.0,-1.87,1.31,0,0.0,0.0
2022-01-01 23:10:00,-6.012,0.0,0.0,0.0,-2.62,0.0,0.0,0.0,0.0,-2.62,1.24,0,0.0,0.0
2022-01-02 00:10:00,-6.012,0.0,0.0,0.0,-2.92,0.0,0.0,0.0,0.0,-2.92,1.1,0,0.0,0.0
2022-01-02 01:10:00,-6.012,0.0,0.0,0.0,-2.99,0.0,0.0,0.0,0.0,-2.99,1.17,0,0.0,0.0
2022-01-02 02:10:00,-6.012,0.0,0.0,0.0,-3.48,0.0,0.0,0.0,0.0,-3.48,1.1,0,0.0,0.0
2022-01-02 03:10:00,-6.012,0.0,0.0,0.0,-3.89,0.0,0.0,0.0,0.0,-3.89,1.1,0,0.0,0.0
2022-01-02 04:10:00,-6.012,0.0,0.0,0.0,-4.09,0.0,0.0,0.0,0.0,-4.09,1.1,0,0.0,0.0
2022-01-02 05:10:00,-6.012,0.0153836945772408,377.5777972398609,5.808541511885375,-4.31,0.0,0.0,0.0,0.0,-4.31,1.1,0,0.0,0.0
2022-01-02 06:10:00,-6.012,0.021625047875525848,384.2012407571017,8.308370225208757,-4.56,0.0,0.0,0.0,0.0,-4.56,1.17,0,0.0,0.0
2022-01-02 07:10:00,-6.012,0.022924742281197764,385.79918091829944,8.844346794849205,-4.81,0.0,0.0,0.0,0.0,-4.81,1.17,0,0.0,0.0
2022-01-02 08:10:00,71.2112718765353,0.28550371916495976,430.0581979526456,122.78321497286083,-4.640215780732854,0.0,10.7,0.16,2.41,-4.96,1.31,0,10.86,10.86
2022-01-02 09:10:00,5152.652396096181,11.756675969891678,447.1175264879619,5256.615879378428,12.188668060509162,398.6,85.01,1.93,9.67,-2.74,1.1,0,86.94000000000001,485.54
2022-01-02 10:10:00,6666.622532949591,15.961165919645584,425.4608034018605,6790.850475402806,23.602298645247934,566.43,88.86,3.42,15.24,2.13,0.83,0,92.28,658.7099999999999
2022-01-02 11:10:00,7301.854926772826,17.94090304868856,414.42548553613483,7435.167456909479,29.261276648455528,662.27,73.58,4.43,18.69,5.13,0.83,0,78.00999999999999,740.28
2022-01-02 12:10:00,6887.674437867174,16.92420061017021,414.4651921401976,7014.492057713446,29.48175048570274,617.51,75.81,4.64,19.67,6.73,0.83,0,80.45,697.96
2022-01-02 13:10:00,5418.309841406604,12.915996685179717,427.73969824254766,5524.6845246205185,22.723408560408423,418.45,110.0,3.93,18.08,6.11,1.03,0,113.93,532.38
2022-01-02 14:10:00,2249.8121133005707,5.227298824689789,443.80364703415165,2319.894282534663,11.344047480777718,94.52,118.38,2.14,14.08,5.1,1.38,0,120.52,215.04
2022-01-02 15:10:00,708.8068937801486,1.7481479142052696,437.70966176747504,765.1812322463056,6.745820111719386,17.1,54.0,0.86,8.06,4.74,1.59,0,54.86,71.96000000000001
2022-01-02 16:10:00,-6.012,0.0,0.0,0.0,3.88,0.0,0.0,0.0,0.0,3.88,1.72,0,0.0,0.0
2022-01-02 17:10:00,-6.012,0.0,0.0,0.0,3.05,0.0,0.0,0.0,0.0,3.05,1.59,0,0.0,0.0
2022-01-02 18:10:00,-6.012,0.0,0.0,0.0,2.72,0.0,0.0,0.0,0.0,2.72,1.59,0,0.0,0.0
2022-01-02 19:10:00,-6.012,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,2.36,1.59,0,0.0,0.0
2022-01-02 20:10:00,-6.012,0.0,0.0,0.0,1.78,0.0,0.0,0.0,0.0,1.78,1.66,0,0.0,0.0
2022-01-02 21:10:00,-6.012,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.79,1.59,0,0.0,0.0
2022-01-02 22:10:00,-6.012,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.23,1.72,0,0.0,0.0
2022-01-02 23:10:00,-6.012,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,-0.1,1.79,0,0.0,0.0
2022-01-03 00:10:00,-6.012,0.0,0.0,0.0,-1.09,0.0,0.0,0.0,0.0,-1.09,1.66,0,0.0,0.0
2022-01-03 01:10:00,-6.012,0.0,0.0,0.0,-1.52,0.0,0.0,0.0,0.0,-1.52,1.66,0,0.0,0.0
2022-01-03 02:10:00,-6.012,0.0,0.0,0.0,-1.49,0.0,0.0,0.0,0.0,-1.49,1.66,0,0.0,0.0
2022-01-03 03:10:00,-6.012,0.0,0.0,0.0,-1.68,0.0,0.0,0.0,0.0,-1.68,1.66,0,0.0,0.0
2022-01-03 04:10:00,-6.012,0.0,0.0,0.0,-1.84,0.0,0.0,0.0,0.0,-1.84,1.72,0,0.0,0.0
2022-01-03 05:10:00,-6.012,0.015312639752036953,369.3602853267143,5.6558809879175564,-0.71,0.0,0.0,0.0,0.0,-0.71,1.72,0,0.0,0.0
2022-01-03 06:10:00,-6.012,0.021632267035738287,376.5910004773065,8.146517085580939,-1.16,0.0,0.0,0.0,0.0,-1.16,1.86,0,0.0,0.0
2022-01-03 07:10:00,-6.012,0.022939033163149488,378.33901781248056,8.678731276513897,-1.47,0.0,0.0,0.0,0.0,-1.47,1.93,0,0.0,0.0
2022-01-03 08:10:00,59.41455123600356,0.26409924536591667,419.5131676658724,110.79311100162218,-0.24927520601447073,0.0,9.81,0.15,2.43,-0.51,1.93,0,9.96,9.96
2022-01-03 09:10:00,1964.4774729521394,4.479591572829458,453.6406242643343,2032.1247175476065,5.293491165462616,93.72,89.3,1.3,9.7,0.28,1.72,0,90.6,184.32
2022-01-03 10:10:00,4970.504733882059,11.499944168822344,441.0178091945262,5071.680183193397,15.494036523075533,325.57,146.0,2.89,15.3,2.09,1.52,0,148.89,474.46
2022-01-03 11:10:00,5130.223188238828,11.999239264006327,436.12979234388183,5233.225728495633,18.162107475298725,320.17,171.14,3.55,18.77,4.55,1.66,0,174.69,494.86
2022-01-03 12:10:00,3590.231161606154,8.296270858894202,442.9111045094211,3674.510489422154,13.86856165153171,159.64,179.0,3.16,19.77,5.14,2.07,0,182.16,341.79999999999995
2022-01-03 13:10:00,1445.0565161882007,3.413167914581784,441.70523182535703,1507.6141249692173,9.755696905931744,15.31,122.87,1.84,18.19,6.18,2.07,0,124.71,140.02
2022-01-03 14:10:00,1346.1003900983524,3.1859015655323093,441.88487621391346,1407.8017189149577,9.179864782137065,25.85,103.26,1.61,14.2,5.67,1.79,0,104.87,130.72
2022-01-03 15:10:00,93.15086321280464,0.35038006082938356,412.94256041829794,144.6868394384046,5.33596701192445,0.0,13.99,0.2,8.19,4.95,1.72,0,14.19,14.19
2022-01-03 16:10:00,-6.012,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,3.4,1.38,0,0.0,0.0
2022-01-03 17:10:00,-6.012,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,2.8,1.1,0,0.0,0.0
2022-01-03 18:10:00,-6.012,0.0,0.0,0.0,1.34,0.0,0.0,0.0,0.0,1.34,1.17,0,0.0,0.0
2022-01-03 19:10:00,-6.012,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,-0.01,1.24,0,0.0,0.0
2022-01-03 20:10:00,-6.012,0.0,0.0,0.0,1.35,0.0,0.0,0.0,0.0,1.35,0.97,0,0.0,0.0
2022-01-03 21:10:00,-6.012,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.86,1.03,0,0.0,0.0
2022-01-03 22:10:00,-6.012,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.36,1.03,0,0.0,0.0
2022-01-03 23:10:00,-6.012,0.0,0.0,0.0,-0.73,0.0,0.0,0.0,0.0,-0.73,1.1,0,0.0,0.0
2022-01-04 00:10:00,-6.012,0.0,0.0,0.0,-1.32,0.0,0.0,0.0,0.0,-1.32,1.1,0,0.0,0.0
2022-01-04 01:10:00,-6.012,0.0,0.0,0.0,-1.7,0.0,0.0,0.0,0.0,-1.7,1.1,0,0.0,0.0
2022-01-04 02:10:00,-6.012,0.0,0.0,0.0,-0.73,0.0,0.0,0.0,0.0,-0.73,0.97,0,0.0,0.0
2022-01-04 03:10:00,-6.012,0.0,0.0,0.0,-1.12,0.0,0.0,0.0,0.0,-1.12,1.03,0,0.0,0.0
