,AC Power,DC scaled P_mp,DC scaled V_mp,DC scaled I_mp,Cell Temperature,poa_direct,poa_sky_diffuse,poa_ground_diffuse,solar_elevation,temp_air,wind_speed,Int,poa_diffuse,poa_global
2022-01-01 01:10:00,0.0,0.0,0.0,0.0,-1.31,0.0,0.0,0.0,0.0,-1.31,2.07,0,0.0,0.0
2022-01-01 02:10:00,0.0,0.0,0.0,5.590327944286189e-28,-0.58,0.0,0.0,0.0,0.0,-0.58,2.14,0,0.0,0.0
2022-01-01 03:10:00,0.0,-0.0,0.0,-5.590327944286189e-28,-0.27,0.0,0.0,0.0,0.0,-0.27,2.14,0,0.0,0.0
2022-01-01 04:10:00,0.0,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,1.02,2.07,0,0.0,0.0
2022-01-01 05:10:00,0.0,0.0,0.0,5.590327944286189e-28,1.51,0.0,0.0,0.0,0.0,1.51,2.0,0,0.0,0.0
2022-01-01 06:10:00,0.0,0.0,0.0,0.0,1.82,0.0,0.0,0.0,0.0,1.82,1.93,0,0.0,0.0
2022-01-01 07:10:00,0.0,0.0,0.0,5.590327944286189e-28,1.66,0.0,0.0,0.0,0.0,1.66,1.79,0,0.0,0.0
2022-01-01 08:10:00,39.03346057286823,100.17047292139456,381.4856459929666,0.24229092865803,2.6126258051971396,0.0,10.7,0.16,2.4,2.31,1.79,0,10.86,10.86
2022-01-01 09:10:00,3276.5549398918424,3428.2921777273336,411.43172532898905,7.688748986465343,12.289131662192045,245.05,102.74,1.66,9.64,2.42,1.59,0,104.4,349.45
2022-01-01 10:10:00,5773.39095848082,6001.533670497778,396.50888267148224,13.96641549533905,21.409588894742843,537.89,94.47,3.32,15.2,3.03,1.24,0,97.79,635.68
2022-01-01 11:10:00,6116.886143243122,6356.722984907789,391.06525989512016,14.998909360213604,24.453217205745368,581.51,99.11,4.18,18.62,4.56,1.17,0,103.29,684.8
2022-01-01 12:10:00,5734.214196532479,5962.107099751824,392.83967842563237,14.004256551613638,23.59075053884675,538.65,102.3,4.37,19.58,5.02,1.31,0,106.67,645.3199999999999
