,AC Power,DC scaled I_mp,DC scaled V_mp,DC scaled P_mp,Cell Temperature
2020-01-01 00:00:00,-6.012,0.0,0.0,0.0,-3.74
2020-01-01 01:00:00,-6.012,0.0,0.0,0.0,-3.33
2020-01-01 02:00:00,-6.012,0.0,0.0,0.0,-3.74
2020-01-01 03:00:00,-6.012,0.0,0.0,0.0,-3.99
2020-01-01 04:00:00,-6.012,0.0,0.0,0.0,-4.13
2020-01-01 05:00:00,-6.012,0.011413746366960627,610.2304533087901,6.965015619461941,-3.95
2020-01-01 06:00:00,-6.012,0.021237864427093092,627.7494699989211,13.332058138016627,-3.77
2020-01-01 07:00:00,145.9412697680058,0.28490027378361243,706.3415510397894,201.23690127597746,-4.604661664614741
2020-01-01 08:00:00,9153.507730102885,12.76948407096719,731.9245383027109,9346.298733006483,13.029714672242035
2020-01-01 09:00:00,11934.373657287675,17.348606417507106,702.3165652065603,12184.213670264082,22.16448177323707
2020-01-01 10:00:00,12568.69178724979,18.534341869836982,692.353978845617,12832.325338866547,25.206319351179378
2020-01-01 11:00:00,11750.3176920871,17.336930830651262,691.8704648681294,11994.910393189293,25.688275405319484
2020-01-01 12:00:00,10349.617304749243,15.112141974629907,699.0481632789254,10564.11509057539,23.726392683616197
2020-01-01 13:00:00,7151.922917813324,10.211693608067963,715.40268642565,7305.473040167461,18.37832904526806
2020-01-01 14:00:00,3876.2123771905717,5.430369639109907,732.5742052300643,3978.1487224764105,10.439616683939217
2020-01-01 15:00:00,-6.012,0.01268009761034437,593.2155129184689,7.522030607776687,1.44
2020-01-01 16:00:00,-6.012,0.0,0.0,0.0,-0.71
2020-01-01 17:00:00,-6.012,0.0,0.0,0.0,-1.19
2020-01-01 18:00:00,-6.012,0.0,0.0,0.0,-2.01
2020-01-01 19:00:00,-6.012,0.0,0.0,0.0,-2.73
2020-01-01 20:00:00,-6.012,0.0,0.0,0.0,-2.73
2020-01-01 21:00:00,-6.012,0.0,0.0,0.0,-3.72
